Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0141185910""","=""9780141185910""",4,4.04,Penguin,Paperback,256,2001,1953,,2021/05/06,,,read,,,,1,0
9553383,A History of the World in 100 Objects,Neil MacGregor,"MacGregor, Neil",,"=""1846144132""","=""9781846144134""",0,4.20,Allen Lane,Hardcover,707,2010,2010,,2021/05/29,,,read,,,,1,0
6178648,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,"=""0385523904""","=""9780385523905""",0,4.45,Spiegel & Grau,Hardcover,316,2009,2009,,2021/06/08,,,read,,,,1,0
60551,The Book: On the Taboo Against Knowing Who You Are,Alan W. Watts,"Watts, Alan W.",,"=""0679723005""","=""9780679723004""",0,4.22,Vintage,Mass Market Paperback,163,1989,1966,,2021/08/23,to-read,to-read (#102),to-read,,,,0,0
17252,"Crucible of War: The Seven Years' War and the Fate of Empire in British North America, 1754 - 1766",Fred  Anderson,"Anderson, Fred",,"=""0375706364""","=""9780375706363""",0,4.19,Vintage,Paperback,912,2001,2000,,2021/07/28,to-read,to-read (#100),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.28,Knopf,Kindle Edition,368,2019,2019,,2020/12/04,,,read,,,,1,0
22551730,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"Larson, Erik",,"=""0307408868""","=""9780307408860""",0,4.12,Crown Publishers,Hardcover,430,2015,2015,,2021/05/29,,,read,,,,1,0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,"=""0143036556""","=""9780143036555""",0,3.93,Penguin Books Ltd. (London),Paperback,608,2005,2004,,2021/06/08,to-read,to-read (#99),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.02,Spectra,Kindle Edition,559,2018,1992,,2021/06/02,to-read,to-read (#98),to-read,,,,0,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",4,4.09,Crown Currency,Hardcover,287,2018,2018,2021/05/29,2021/05/22,productivity,productivity (#1),read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2021/05/29,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2021/05/29,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.36,Vintage,Paperback,512,2015,2011,,2016/08/16,,,read,,,,1,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,,2017/11/05,,,read,,,,1,0
6899290,"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,"Rock, David",,"=""0061771295""","=""9780061771293""",0,4.09,Harper Business,Hardcover,246,2009,2009,,2021/05/22,"to-read, productivity","to-read (#97), productivity (#3)",to-read,,,,0,0
24693651,Organize Tomorrow Today: 8 Ways to Retrain Your Mind to Optimize Performance at Work and in Life,Jason Selk,"Selk, Jason","Tom Bartow, Matthew Rudy","=""0738218693""","=""9780738218694""",0,4.01,Da Capo Lifelong Books,Hardcover,240,2015,2015,,2021/05/22,"to-read, productivity","to-read (#96), productivity (#2)",to-read,,,,0,0
50358103,Money: The True Story of a Made-Up Thing,Jacob Goldstein,"Goldstein, Jacob",,"=""031641719X""","=""9780316417198""",0,4.19,Hachette Books,Hardcover,272,2020,2020,,2021/05/20,to-read,to-read (#95),to-read,,,,0,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""""","=""""",0,4.18,Random House,Kindle Edition,658,2009,1962,,2021/01/18,,,read,,,,1,0
55339408,Noise: A Flaw in Human Judgment,Daniel Kahneman,"Kahneman, Daniel","Olivier Sibony, Cass R. Sunstein","=""0316451401""","=""9780316451406""",0,3.66,"Little, Brown Spark",Hardcover,454,2021,2021,,2021/05/14,to-read,to-read (#94),to-read,,,,0,0
21343,The Five Dysfunctions of a Team,Patrick Lencioni,"Lencioni, Patrick",,"=""0787960756""","=""9780787960759""",0,4.11,FisicalBook,Paperback,228,1900,2002,,2021/04/08,to-read,to-read (#93),to-read,,,,0,0
33877608,Eat the Buddha: Life and Death in a Tibetan Town,Barbara Demick,"Demick, Barbara",,"=""0812998758""","=""9780812998757""",0,4.14,Random House,Hardcover,325,2020,2020,,2020/12/21,,,read,,,,1,0
17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"Philbrick, Nathaniel",,"=""0141001828""","=""9780141001821""",0,4.16,Penguin Books,Paperback,302,2001,2000,,2021/01/18,,,read,,,,1,0
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,"=""""","=""""",0,4.36,Ballantine Books,Mass Market Paperback,466,2015,1965,,2016/06/27,,,read,,,,1,0
48766223,Stalin: Passage to Revolution,Ronald Grigor Suny,"Suny, Ronald Grigor",,"=""0691182035""","=""9780691182032""",0,4.17,Princeton University Press,Hardcover,856,2020,2020,,2021/01/11,to-read,to-read (#92),to-read,,,,0,0
53232144,On Task: How Our Brain Gets Things Done,David Badre,"Badre, David",,"=""0691175551""","=""9780691175553""",0,4.06,Princeton University Press,Hardcover,344,2020,,,2021/01/11,to-read,to-read (#91),to-read,,,,0,0
40048953,A Fistful of Shells: West Africa from the Rise of the Slave Trade to the Age of Revolution,Toby Green,"Green, Toby",,"=""0241003172""","=""9780241003176""",0,4.05,Allen Lane,Hardcover,656,2019,2019,,2020/06/11,,,read,,,,1,0
34563821,Disappearing Earth,Julia  Phillips,"Phillips, Julia",,"=""""","=""""",0,3.84,Knopf,Hardcover,312,2019,2019,,2020/12/04,to-read,to-read (#90),to-read,,,,0,0
